AREACD,P50
E01000001,48488.92
E01000002,48203.87
E01000003,30631.78
E01000005,24392.47
E01000006,21863.94
E01000007,20974.74
E01000008,18684.29
E01000009,20793.79
E01000010,21609.44
E01000011,19021.73
E01000012,20589.42
E01000013,21982.92
E01000014,22373.62
E01000015,21815.08
E01000016,22605.01
E01000017,22463.75
E01000018,21909.97
E01000019,22029.97
E01000020,21975.43
E01000021,21255.58
E01000022,21400.62
E01000023,22315.94
E01000024,21995.38
E01000025,22997.95
E01000027,21484.46
E01000028,21640.54
E01000029,23890.58
E01000030,20124.26
E01000031,23151.41
E01000032,23144.92
E01000033,21658.71
E01000034,22524.12
E01000035,23032.89
E01000036,23838.48
E01000037,27202.75
E01000038,25384.76
E01000039,25190.45
E01000040,20646.87
E01000041,21782.44
E01000042,20451.2
E01000043,21692.22
E01000044,21399.53
E01000045,21150.55
E01000046,22439.35
E01000048,18471.03
E01000049,19157.1
E01000050,21187.58
E01000051,20388.81
E01000052,21734.47
E01000053,22548.6
E01000054,22160.51
E01000055,22451.44
E01000056,22448.89
E01000057,22302.2
E01000058,22981.44
E01000059,23003.84
E01000060,21630.83
E01000061,19077.76
E01000062,22853.39
E01000063,21491.77
E01000064,23692.13
E01000065,22768.65
E01000066,22387.1
E01000067,22871.28
E01000068,23549.28
E01000069,25405.02
E01000070,22185.81
E01000071,23632.67
E01000072,22183.06
E01000073,22401.27
E01000074,22034.94
E01000075,23623.98
E01000076,22165.96
E01000077,22356.06
E01000078,22491.7
E01000079,22925.34
E01000080,21905.91
E01000081,22292.71
E01000082,22096.33
E01000083,22713.03
E01000084,21681.89
E01000085,22182.21
E01000086,21791.46
E01000087,21505.72
E01000088,22186.11
E01000089,22923.43
E01000090,22779.95
E01000091,20662.43
E01000092,22692.5
E01000093,19580.68
E01000094,22936.35
E01000095,21880.31
E01000096,20747.81
E01000097,22902.54
E01000098,21263.92
E01000099,23635.1
E01000100,23014.21
E01000101,22717.84
E01000102,23053.76
E01000103,23274.64
E01000104,21244.03
E01000105,21518.74
E01000106,21649.48
E01000107,23604.88
E01000108,23647.1
E01000109,22404.74
